,Album,Song,Link,lyrics
0,Break It Down (2018),Break It Down**,https://lyrics.az/justin-bieber/break-it-down/break-it-down.html,"When I see you, you don't think I run up on you
No way
And I don't want a text when I flex on you



Get it mic check, one, two
Get it mic check, one, two"
1,Flowers And Plantes (2017),Hey Girl (Unreleased),https://lyrics.az/justin-bieber/flowers-and-plantes/hey-girl-unreleased.html,"[Intro]
Oh yeah
[Verse 1]
Ever since I met you baby I couldn't fight this feeling, oh no
I'm the type to give you everything I have, she's priceless for real oh
You don't ever have to do a thing but give me all your love and affection, oh
You have something going for yourself, that's the type of girl for me
[Pre-Chorus]
Take you on a trip right by my side to a special place where we belong
So many things that are on my mind, can't wait to get you all alone
[Chorus]
Hey girl, you're something out a magazine
You're something on a movie screen
Hey girl, I need you, more than words can say
Hey girl, you're something like a silhouette
What you see is what you get
Hey girl, I need you, more than words can say
[Verse 2]
Ever since you looked into my eyes nothing seems to phase me, oh
There's no one who ever satisfied, stolen love can make me, oh
Fell the way you do, its something in the way you do
The way you move your body girl
[Pre-Chorus]
Take you on a trip right by my side to a special place where we belong



So many things that are on my mind, can't wait to get you all alone
[Chorus]
Hey girl, you're something out a magazine
You're something on a movie screen
Hey girl, I need you, more than words can say
Hey girl, you're something like a silhouette
What you see is what you get
Hey girl, I need you, more than words can say
[Bridge]
Ever since I met you baby I couldn't fight this feeling, oh no
I'm the type to give you everything I have, she's priceless for real oh
You don't ever have to do a thing but give me all your love and affection, oh
You have something going for yourself, that's the type of girl for me
[Pre-Chorus]
Take you on a trip right by my side to a special place where we belong
So many things that are on my mind, can't wait to get you all alone
[Chorus]
Hey girl, you're something out a magazine
You're something on a movie screen
Hey girl, I need you, more than words can say
Hey girl, you're something like a silhouette
What you see is what you get
Hey girl, I need you, more than words can say"
2,Flowers And Plantes (2017),It's All Gonna Be Okay,https://lyrics.az/justin-bieber/flowers-and-plantes/its-all-gonna-be-okay.html,"[Intro: Justin Bieber]
It's all gonna be okay
It's all gonna be okay
It's all gonna be okay
I'll be waiting for you
[Verse 1: Justin Bieber]
Well, tell me is it wrong?
Wrong for me to say this?
That our relationships been rough for a long time
Well baby, do you care?
Care about my heart, babe?
Acting like it's always you
Baby girl, I want to make you
I wanna make you mine
[Chorus: Justin Bieber]
It's all gonna be okay
It's all gonna be okay
It's all gonna be okay
I'll be waiting for you
Baby, if you take my hand
We can never go nowhere
Can't you feel the love in the air
Oh! You know I got you baby
Tell me, Do you love me?
Do you need me? Do you want me back?
‘Cause I got you
And I'll never let you go-go-go
Tell me, Do you love me?
Do you need me? Do you want me back?
‘Cause I got you
And I'll never let you go-go-go
[Verse 2: Justin Bieber]
I don't wanna do this
No, I don't wanna do this
You come in here sayin' that you only wanna be friends
I don't wanna do this
No, I don't wanna do this
When you're down for the week
But then you're gone for the weekend
[Chorus: Justin Bieber]
It's all gonna be okay
It's all gonna be okay
It's all gonna be okay
I'll be waiting for you
Baby, if you take my hand
We can never go nowhere
Can't you feel love in the air
Oh! You know I got you baby
Tell me, Do you love me?
Do you need me? Do you want me back?



‘Cause I got you
And I'll never let you go-go-go
Tell me, Do you love me?
Do you need me? Do you want me back?
‘Cause I got you
And I'll never let you go-go-go
[Verse 3: Jaden Smith]
So when the lights turn off
And this love don't last
There is one question I would ask
Is it cause when we first started, we was movin' really fast
It is cause it was blurry and we worried by the past
Well now baby girl, I'm starting fresh
Every time I see you like we never met
Better yet, Imma get a jet, we fly to Paris, on the wheel like it was Ferris
Baby girl you who I cherish
Don't get worried about your parents
We gon' chill
And girl I'll be your biggest crush
When I walk up in the room
Girl, You know I see you blush, hush!
Girl, I know you feel this lust
Girl, you always on my side, cause you know that, that's a must, yes us
[Post-Chorus: Justin Bieber]
Tell me, Do you love me?
Do you need me? Do you want me back?
‘Cause I got you
And I'll never let you go-go-go
Tell me, Do you love me?
Do you need me? Do you want me back?
‘Cause I got you
And I'll never let you go-go-go
[Chorus: Justin Bieber]
It's all gonna be okay
It's all gonna be okay
It's all gonna be okay
I'll be waiting for you
Baby, if you take my hand
Baby, if you take my hand
We can never go nowhere
Can't you feel love in the air
Oh! You know I got you baby"
3,Flowers And Plantes (2017),Long Way Home,https://lyrics.az/justin-bieber/flowers-and-plantes/long-way-home.html,"[Justin]
Callin' up in a war
You gotta play with 'em oh
I caught a couple of ho's
Now I done rockin' 'em all
Time to just play with the ho
Now I'm done playin' a ho
Said we're done like woah
Thank dancing for you woah
Got a couple of ? like wooah
Like I'm playin', she just wanna dough
I got couple Benzes and you
Tell man a friend, like they know
I got a couple nances and ah-oh
Like ohh
Oh, I just want to know if you got it
Every time, I wanna try, I know it's not the best time
I just want to know if you here
And every time I'm with you, girl I wanna kiss you
Have a feelin' in it like there
And I just wanna roll now, never wanna go down, wanna go down
Every time we do it like slow now
I, I, just wanna get yourself a walkthrough
Tell [?], and I want you
I just want that feeling like a horseshoe



[?]
No, no, no I want you
Ohh then I'm gonna feed you
Cooker in a corner, know you sleepin'
I just said [?] you leading
You lil wet like you bleedin'
I just think n***a's wanna schemin'
Every time you don't wanna hold down
Beverly Hills, you wanna go down
Never wanna leave you
Oohh, never gonna leave you
Oh, I just want to know if you got it
Every time, I wanna try, I know it's not the best time
I just want to know if you here
And every time I'm with you, girl I wanna kiss you
Have a feelin' in it like there
And I just wanna roll now, never wanna go down, wanna go down
Every time we do it like slow now
[?]
For a low down
Feelin' like oh now
Oh now, I don't mind
I need you
Oh now, I don't mind
I need you
Oh now, I don't mind
(I need you...)"
4,Flowers And Plantes (2017),New One,https://lyrics.az/justin-bieber/flowers-and-plantes/new-one.html,"Oh yeah, oh yeah, oh yeah
Oh, oh yeah, oh yeah
I pull up in my new whip, baby, that's my new one
You ask me who my crew is, baby there's no new ones
And I'm just saying ""deuces,"" I just need a new one
(I, I just need a new one, I, I just need that brand new one, yeah)
They just wanna play with me, they just wanna play with me
Just got back from the Middle East
Maybe just a little [?], still wanna play with me?
Back to the crib for two minutes, I got something to do
Yeah, you get it
Yeah I copped something new, a new getup
Yeah, phone coming through, you keep your head up
Gotta have all the new kicks, better have all the new tricks
And my bank go [?], gotta have all the new whips



Gotta have all the new chicks, my bad, I'm sick
Never had a problem with a money clip
Paper always glazed like a honey dip
I was always raised like ""Honey, quit""
I'm just being funny with this funny sh**
I pull up in my new whip, baby, that's my new one
You ask me who my crew is, baby there's no new ones
And I'm just saying ""deuces,"" I just need a new one
Oh yeah, oh yeah, oh yeah
Oh, oh yeah, oh yeah
I pull up in my new whip, baby, that's my new one
You ask me who my crew is, baby there's no new ones
And I'm just saying ""deuces,"" I just need a new one
(I, I just need a new one, I, I just need that brand new one, yeah)"
5,Flowers And Plantes (2017),Oh Girl,https://lyrics.az/justin-bieber/flowers-and-plantes/oh-girl.html,"[Verse]
Take my hand and put it on your chest
Cause I need your, your love, yeah
Would you come right here and do it, baby?
Cause I need you to do it, baby
Your love is keeping me warm, warm, warm
[Pre-Chorus]
You been gone far away, I just need to hold you babe
Can't believe I'm with you, cause you got me open, baby
I'm loving everything you do
I'm thankful that I'm here with you
You make me wanna say
[Chorus]
Oh girl, your body is so insane, making me call your name, girl
Oh girl, yeah it's like a rush every single time we touch, girl
Oh girl, your body is so insane, making me call your name
Oh girl, yeah it's like a rush every single time we touch
[Verse]
Take my hand and put it on your chest
Cause I need your, your love, yeah



Would you come right here and do it, baby?
Cause I need you to do it, baby
Your love is keeping me warm, warm, warm
[Pre-Chorus]
You been gone far away, I just need to hold you babe
Can't believe I'm with you, cause you got me open, baby
I'm loving everything you do
I'm thankful that I'm here with you
You make me wanna say
[Chorus]
Oh girl, your body is so insane, making me call your name, girl
Oh girl, yeah it's like a rush every single time we touch, girl
Oh girl, your body is so insane, making me call your name
Oh girl, yeah it's like a rush every single time we touch, girl
[Outro]
Oh girl, your body is so insane, making me call your name, girl
Oh girl, I just need to hold you tight
Oh girl, cause you're all mine"
6,Flowers And Plantes (2017),Perfect Together,https://lyrics.az/justin-bieber/flowers-and-plantes/perfect-together.html,"[Chorus]
I’m not perfect sometimes
No you’re not perfect sometimes
But even when it’s wrong it feels right
â€˜cause we’re perfect together
Perfect together, perfect together
Perfect together, perfect together
Perfect together, perfect together
Wo-oh
[Verse]
It’s amazing
So amazing
That we are still here, yeah
â€˜cause we’re changing
Re-arraging
But I still see you clear



[Pre-Chorus]
How can I love you more than me?
Tell me the way you and I can fix it
[Chorus]
[Verse2]
No more lonely nights
No more city lights
And we’re not feeling in the worse baby
You know how to hit me baby
Light shines through the house now
Darkest days in the past nights
You don’t know what you do to me
[Pre-Chorus] + [Chorus]"
7,Flowers And Plantes (2017),Somebody To You,https://lyrics.az/justin-bieber/flowers-and-plantes/somebody-to-you.html,"I keep thinking in my head that one day we'll separate
I see it happening everyday, nothing lasts forever
That's what people say
I can't picture you out of my life
I think about this every day and night
And I don't know why but it seems to get to me
No, I don't wanna leave you, I'm no good alone
So I'm staying with you till you want me to go
Girl, you don't understand what you do to me
Got crazy in my head, I don't think I can leave
I need you here with me all night
Girl, I can't live without your smile
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm, I'm in love
I'm so scared to lose you
Uuh, uh, oh oh
Don't know what I would do
Thought of me being replaced
Brings tears right to my face
And I can't think of anybody who would take your place
No, I don't wanna leave you, I'm no good alone



So I'm staying with you till you want me to go
Girl, you don't understand what you do to me
Got crazy in my head, I don't think I can leave
I need you here with me all night
Girl, I can't live without your smile
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm, I'm in love
I can't picture you out of my life
Said I can't, no I can't
Out of my life
I can't picture you out of my life
Said I can't, no I can't
Out of my life
Girl, you don't understand what you do to me
Got crazy in my head, I don't think I can leave
I need you here with me all night
Girl, I can't live without your smile
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm in love, I don't know what to do
But I'm crazy over you
I'm, I'm in love"
8,Flowers And Plantes (2017),Strong,https://lyrics.az/justin-bieber/flowers-and-plantes/strong.html,"[Selena Gomez]
There's no sophistication in my lack of patience
I'm just wishing you were better at communication
As I sit here steady waiting
Wishing that you would call my name in
[(Selena Gomez) & Justin Bieber]
(Wishing I was better with the distance)
It's cause you're the only one I'm really missing
Nobody else would be forgiving
Cause of all the love that you give me
All of the love that you give me
All of the love that you give me, give me
(Wishing I was better at this damn thing
Cause it's just been too long and I can't change)
Wishing I was better at this damn thing
Cause it's just been too long and I can't change
[Justin Bieber]
Gotta be strong, strong, strong
Gotta be strong, strong, strong



[Justin Bieber]
What should I do? Should I go?
Who do I talk to? Nobody knows
Who knows the answer to all of my questions?
When will I get over this, over this?
[(Selena Gomez) & Justin Bieber]
(Wishing I was better with the distance)
It's cause you're the only one I'm really missing
Nobody else would be forgiving
Cause of all that love that you give me
All of the love that you give me
All of the love that you give me, give me
(Wishing I was better at this damn thing
Cause it's just been too long and I can't change)
Wishing I was better at this damn thing
Cause it's just been too long and I can't change
[Justin Bieber]
Gotta be strong, strong, strong
Gotta be strong, strong, strong"
9,Flowers And Plantes (2017),Supermodel,https://lyrics.az/justin-bieber/flowers-and-plantes/supermodel.html,"[Chorus: Justin Bieber]
You could be my supermodel
You could be my supermodel
You could be my supermodel
Oh, the way you strut your sh**
You could be my supermodel
Ooh, I wanna take your pic
[Verse 1: Justin Bieber]
Oh, it's like 3 in the morning
And you see me lookin' at you
Ooh, I just can't control it
Come over here so I can see you better
I don't want you to leave
Baby, you and me should be together
Spend the night with me, yeah
[Pre-Chorus: Justin Bieber]
I'm talkin' 'bout first cla** treatment babe
Startin' this evening baby
Tell me what you need and I'll pay
Even though I know that you don't need anything
I'm talkin' 'bout first cla** treatment babe
Startin' this evening baby
Tell me what you need and I'll pay
Even though I know that you don't need anything
[Chorus: Justin Bieber]
You could be my supermodel
The way you strut your sh**
You could be my supermodel
Ooh, I wanna take your pic
[Verse 2: Justin Bieber]
I could pick you up in a Rolls Royce
Anywhere you wanna go, it's your choice



I promise that I'm nothing like them other boys
Soundz drop that beat just to make noise
Just to make noise
Soundz drop that beat just to make noise
Just to make noise
Soundz drop that beat just to make noise
[Pre-Chorus: Justin Bieber]
I'm talking bout first cla** treatment babe
Starting this evening baby
Tell me what you need and I'll pay
Even though I know that you don't need anything
I'm talking bout first cla** treatment babe
Starting this evening baby
Tell me what you need and I'll pay
Even though I know that you don't need anything
[Chorus: Justin Bieber]
You could be my supermodel
The way you strut your sh**
You could be my supermodel
Ooh I wanna take your pic
[Verse 3: Tyga]
Pretty I mean pretty exactly where I'm from
You still with me?
I'm your new bad boy ball no biggie
Pop it on the collar
I just pull up and park like play grounding
Bet you do anything for a one nighter
Bet I can make your friend freak like cirque du soleil..."
