,Album,Song,Link,lyrics
0,Rare (2018),Flawless*,https://lyrics.az/selena-gomez/rare/flawless.html,blank
1,Rare (2018),Rare*,https://lyrics.az/selena-gomez/rare/rare.html,blank
2,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),A 1000 Times,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/a-1000-times.html,"[Intro: Hamilton Leithauser]
I had a dream that you were mine
I've had that dream a thousand times
A thousand times, a thousand times
I've had that dream a thousand times
[Verse 1: Hamilton Leithauser]
I left my room on the west side
I walked from noon until the night
I changed my crowd, I ditched my tie
I watched the sparks fly off the fire
I found your house, I didn't even try
They'd closed the shutters, they'd pulled the blinds
My eyes were red, the streets were bright
Those ancient years were black and white
[Pre-Chorus: Hamilton Leithauser & together]
The 10th of November, the year's almost over
If I had your number, I'd call you tomorrow
If my eyes were open, I'd be kicking the doors in
But all that I have is this old dream I've always had
[Chorus: Hamilton Leithauser]
A thousand times, a thousand times
I've had that dream a thousand times
A thousand times, a thousand times



I've had that dream a thousand times
[Verse 2: Hamilton Leithauser]
I left my room on the west side
I walked from noon through the night
I changed my crowd, I ditched my tie
I watched the sparks fly off the fire
I found your old house, I didn't even try
They'd closed the shutters, they'd pulled the blinds
I had a dream that you were mine
I've had that dream a thousand times
[Pre-Chorus: Hamilton Leithauser]
But I don't answer questions, I just keep on guessing
My eyes are still open, the curtains are closing
But all that I have is this old dream I always had
[Chorus: Hamilton Leithauser]
A thousand times, a thousand times
I've had that dream a thousand times
A thousand times, a thousand times
I've had that dream a thousand times
A thousand times, a thousand times
I've had that dream a thousand times
A thousand times, a thousand times
I've had that dream a thousand times"
3,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Bored,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/bored.html,"[Verse 1]
The games you played were never fun
You'd say you'd stay but then you'd run
[Pre-Chorus]
Giving you what you're begging for
Giving you what you say I need
I don't want any settled scores
I just want you to set me free
Giving you what you're begging for
Giving you what you say I need, say I need
[Chorus]
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
When you walk out the door and leave me torn
You're teaching me to live without it
Bored, I'm so bored, I'm so bored, so bored
[Verse 2]
I'm home alone, yeah, God knows where
I hope you don't think that sh**'s fair
[Pre-Chorus]
Giving you all you want and more
Giving you every piece of me
But I will never can afford



I just want you to love for free
Can't you see that I'm getting bored?
Giving you every piece of me, piece of me
[Chorus]
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
When you walk out the door and leave me torn
You're teaching me to live without it
I'm so bored, I'm so bored, so bored
[Pre-Chorus]
Giving you what you're begging for
Giving you what you say I need
I don't want any settled scores
I just want you to set me free
Giving you what you're begging for
Giving you what you say I need, say I need
[Chorus]
I'm not afraid anymore
What makes you sure you're all I need?
Forget about it
And when you walk out the door and leave me torn
You're teaching me to live without it"
4,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Cool Blue,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/cool-blue.html,"[Verse 1]
How can you wait in the wash of the rain?
You're soaked to your feet
Still, you said you'd wait for me
And these days, they grow so old
And I'll never show
I thought they knew
I'm fickle and slow, and I'll never do
[Chorus]
This cool blue water
In this feeling you brought to me
There's a cool blue
Honey, keep it
Whenever you start to leave
[Verse 2]
I was up every night
A phantom of myself, beside



She rattled my bones
(Don't you think I fit the part?)
I'll never grow
It's all that I know
[Pre-Chorus]
These things, they slow
Maybe, they should
[Chorus]
This cool blue water
In this feeling you brought to me
There's a cool blue heart you're keeping
Whenever you start to leave
This cool blue water
In this feeling you brought to me
There's a cool blue heart you're keeping
Whenever you start to leave"
5,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Fascination Street,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/fascination-street.html,"Oh, it's opening time down on Fascination Street
So let's cut the conversation and get out for a bit
Because I feel it all fading and paling and I'm begging
To drag you down with me to kick the last nail in
Yeah, I like you in that like I like you to scream
But if you open your mouth then I can't be responsible
For quite what goes in or to care what comes out
So just pull on your hair, just pull on your pout
And let's move to the beat like we know that it's over



If you slip going under, slip over my shoulder
So just pull on your face, just pull on your feet
And let's hit opening time, down on Fascination Street
So pull on your hair, pull on your pout
Cut the conversation, just open your mouth
So just pull on your face, just pull on your feet
And let's hit opening time, down on Fascination Street
Down on Fascination Street
Down on Fascination Street
Down on Fascination Street
Down on Fascination Street"
6,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),High,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/high.html,"[Verse 1]
I've been smoking on the peace pipe
I've been wondering just what would peace be like
I've been staring into headlights
Swallow me whole, finding my peace of mind
I'm just trying to seize the moment
Trying to love the little things, even if they're hard to love
A monument to love unspoken
Carved into stone “Unwilling to come undone”
[Chorus 1]
It feels good to be running from the devil
Another breath and I'm up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now
[Verse 2]
I remember back in Oakland
I was lying there in rapture on the bathroom floor
Moving hotel to hotel
Out on the road, no idea really what's in store
Light it up just like a flashlight
Let it shine, let it rise just like a foreign sun
Turn it over and it's capsized
It's finally done, the battle's lost yet I feel I've won
[Chorus 1]
It feels good to be running from the devil
Another breath and I'm up another level
It feels good to be up above the clouds



It feels good for the first time in a long time now
[Post-Chorus]
It feels good for the first time in a long time now
It feels good to be me
[Chorus 2]
I'm high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I'm along for the ride as I'm taking flight
I'm high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I'm along for the ride as I'm taking flight
[Chorus 1]
It feels good to be running from the devil
Another breath and I'm up another level
It feels good to be up above the clouds
It feels good for the first time in a long time now
[Post-Chorus]
It feels good for the first time in a long time to be me
It feels good for the first time in a while I'm free
[Chorus 2]
I'm high, staring at the ceiling
Sending my love, what a wonderful feeling
What comes next, I see a light
I'm along for the ride as I'm taking flight"
7,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Into the Black,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/into-the-black.html,"My, my
Hey, hey
Rock and Roll
Is here to stay
It's better to burn out
Than to fade away
My, my
Hey, hey
Out of the blue
Into the black
They give you this
But you pay for that
Once you're gone
You can never come back
When you're
Out of the blue
Into the black




The King is gone
But he's not forgotten
This is the story of Johnny Rotten
It's better to burn out than it is to rust
The King is gone but he's not forgotten
Hey, hey
My, my
Rock and Roll
Can never die
There's more to the picture
Than meets the eye
Hey, hey
My, my"
8,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),k** Em With Kindness (Acoustic Version),https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/k**-em-with-kindness-acoustic-version.html,"[Verse 1]
The world can be a nasty place
You know it, I know it, yeah
See we don't have to fall from grace
Put down the weapons you fight with
[Chorus]
And k** 'em with kindness
k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead now
[Verse 2]
We're running out of time
Chasing our lies
Everyday a small piece of you dies
There's always somebody
You're willing to fight, to be right
[Pre-Chorus]
Your lies are bullets
Your mouth's a gun
And no war in anger
Was ever won



Put out the fire before igniting
Next time you're fighting
[Chorus]
(Please) k** 'em with kindness
k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead now
[Pre-Chorus]
Your lies are bullets
Your mouth's a gun
No war in anger
Was ever won
Put out the fire before igniting
Why can't we stop fighting?
[Chorus]
And k** 'em with kindness
k** 'em with kindness
k** 'em, k** 'em, k** 'em with kindness
k** 'em with kindness
k** 'em with kindness
Go ahead, go ahead now"
9,13 Reasons Why (A Netflix Original Series Soundtrack) (2017),Love Will Tear Us Apart,https://lyrics.az/selena-gomez/13-reasons-why-a-netflix-original-series-soundtrack/love-will-tear-us-apart.html,"[Verse 1]
When routine bites hard
And ambitions are low
And resentment rides high
But emotions won't grow
And we're changing our ways, taking different roads
[Chorus]
Then love, love will tear us apart again
Love, love will tear us apart again
[Verse 2]
Why is the bedroom so cold?
You've turned away on your side
Is my timing that flawed?
Our respect runs so dry
Yet there's still this appeal
That we've kept through our lives



[Chorus]
But love, love will tear us apart again
Love, love will tear us apart again
[Verse 3]
You cry out in your sleep
All my failings exposed
And there's a taste in my mouth
As desperation takes hold
Just that something so good just can't function no more
[Chorus ]
Then love, love will tear us apart again
Love, love will tear us apart again
Then love, love will tear it apart again
Love, love will tear it apart again"
